T_gas (°C),t_ignition (s)
370.0,
371.0,
372.0,
373.0,
374.0,
375.0,
376.0,
377.0,
378.0,
379.0,
380.0,
381.0,
382.0,
383.0,
384.0,
385.0,
386.0,
387.0,
388.0,
389.0,
390.0,
391.0,
392.0,
393.0,
394.0,
395.0,
396.0,
397.0,21.7500000000006
398.0,17.20999999999989
399.0,15.509999999999714
400.0,14.429999999999737
401.0,13.649999999999753
402.0,13.029999999999767
403.0,12.519999999999778
404.0,12.079999999999787
405.0,11.699999999999795
406.0,11.369999999999802
407.0,11.069999999999808
408.0,10.799999999999814
409.0,10.54999999999982
410.0,10.319999999999824
411.0,10.109999999999829
412.0,9.909999999999833
413.0,9.729999999999837
414.0,9.54999999999984
415.0,9.389999999999844
416.0,9.239999999999847
417.0,9.08999999999985
418.0,8.949999999999854
419.0,8.819999999999856
420.0,8.68999999999986
421.0,8.569999999999862
422.0,8.459999999999864
423.0,8.339999999999867
424.0,8.239999999999869
425.0,8.129999999999871
426.0,8.039999999999873
427.0,7.939999999999875
428.0,7.849999999999877
429.0,7.759999999999879
430.0,7.669999999999881
431.0,7.589999999999883
432.0,7.509999999999884
433.0,7.429999999999886
434.0,7.349999999999888
435.0,7.279999999999889
436.0,7.199999999999891
437.0,7.129999999999892
438.0,7.059999999999894
439.0,6.999999999999895
440.0,6.929999999999897
441.0,6.869999999999898
442.0,6.809999999999899
443.0,6.7499999999999005
444.0,6.689999999999902
445.0,6.629999999999903
446.0,6.569999999999904
447.0,6.519999999999905
448.0,6.459999999999907
449.0,6.409999999999908
450.0,6.359999999999909
451.0,6.30999999999991
452.0,6.259999999999911
453.0,6.209999999999912
454.0,6.159999999999913
455.0,6.109999999999914
456.0,6.069999999999915
457.0,6.019999999999916
458.0,5.979999999999917
459.0,5.929999999999918
460.0,5.889999999999919
461.0,5.84999999999992
462.0,5.799999999999921
463.0,5.759999999999922
464.0,5.7199999999999225
465.0,5.679999999999923
466.0,5.649999999999924
467.0,5.609999999999925
468.0,5.569999999999926
469.0,5.5299999999999265
470.0,5.499999999999927
471.0,5.459999999999928
472.0,5.419999999999929
473.0,5.3899999999999295
474.0,5.34999999999993
475.0,5.319999999999931
476.0,5.289999999999932
477.0,5.2499999999999325
478.0,5.219999999999933
479.0,5.189999999999934
480.0,5.159999999999934
481.0,5.129999999999935
482.0,5.099999999999936
483.0,5.069999999999936
484.0,5.039999999999937
485.0,5.009999999999938
486.0,4.979999999999938
487.0,4.949999999999939
488.0,4.9199999999999395
489.0,4.88999999999994
490.0,4.859999999999941
491.0,4.839999999999941
492.0,4.809999999999942
493.0,4.7799999999999425
494.0,4.759999999999943
495.0,4.729999999999944
496.0,4.699999999999944
497.0,4.679999999999945
498.0,4.649999999999945
499.0,4.629999999999946
500.0,4.599999999999946
501.0,4.579999999999947
502.0,4.559999999999947
503.0,4.529999999999948
504.0,4.509999999999948
505.0,4.479999999999949
506.0,4.459999999999949
507.0,4.43999999999995
508.0,4.41999999999995
509.0,4.389999999999951
