T_gas (°C),t_ignition (s)
387.0,
388.0,
389.0,
390.0,
391.0,
392.0,18.61000000000011
393.0,16.209999999999734
394.0,14.899999999999727
395.0,13.999999999999746
396.0,13.30999999999976
397.0,12.749999999999773
398.0,12.279999999999783
399.0,11.879999999999791
400.0,11.519999999999799
401.0,11.209999999999805
402.0,10.919999999999812
403.0,10.659999999999817
404.0,10.419999999999822
405.0,10.199999999999827
406.0,9.999999999999831
407.0,9.809999999999835
408.0,9.62999999999984
409.0,9.459999999999843
410.0,9.299999999999846
411.0,9.14999999999985
412.0,9.009999999999852
413.0,8.869999999999855
414.0,8.739999999999858
415.0,8.61999999999986
416.0,8.499999999999863
417.0,8.389999999999866
418.0,8.279999999999868
419.0,8.16999999999987
420.0,8.069999999999872
421.0,7.9699999999998745
422.0,7.879999999999876
423.0,7.789999999999878
424.0,7.69999999999988
425.0,7.619999999999882
426.0,7.529999999999884
427.0,7.449999999999886
428.0,7.369999999999887
429.0,7.299999999999889
430.0,7.22999999999989
431.0,7.149999999999892
432.0,7.0799999999998935
433.0,7.019999999999895
434.0,6.949999999999896
435.0,6.8899999999998975
436.0,6.819999999999899
437.0,6.7599999999999
438.0,6.699999999999902
439.0,6.639999999999903
440.0,6.589999999999904
441.0,6.529999999999905
442.0,6.4699999999999065
443.0,6.419999999999908
444.0,6.369999999999909
445.0,6.31999999999991
446.0,6.269999999999911
447.0,6.219999999999912
448.0,6.169999999999913
449.0,6.119999999999914
450.0,6.069999999999915
451.0,6.029999999999916
452.0,5.979999999999917
453.0,5.939999999999918
454.0,5.889999999999919
455.0,5.84999999999992
456.0,5.809999999999921
457.0,5.769999999999921
458.0,5.729999999999922
459.0,5.689999999999923
460.0,5.649999999999924
461.0,5.609999999999925
462.0,5.569999999999926
463.0,5.539999999999926
464.0,5.499999999999927
465.0,5.459999999999928
466.0,5.429999999999929
467.0,5.3899999999999295
468.0,5.35999999999993
469.0,5.319999999999931
470.0,5.289999999999932
471.0,5.259999999999932
472.0,5.219999999999933
473.0,5.189999999999934
474.0,5.159999999999934
475.0,5.129999999999935
476.0,5.099999999999936
477.0,5.069999999999936
478.0,5.039999999999937
479.0,5.009999999999938
480.0,4.979999999999938
481.0,4.949999999999939
482.0,4.9199999999999395
483.0,4.88999999999994
484.0,4.859999999999941
485.0,4.839999999999941
486.0,4.809999999999942
487.0,4.7799999999999425
488.0,4.749999999999943
489.0,4.729999999999944
490.0,4.699999999999944
491.0,4.679999999999945
492.0,4.649999999999945
493.0,4.629999999999946
494.0,4.599999999999946
495.0,4.579999999999947
496.0,4.549999999999947
497.0,4.529999999999948
498.0,4.4999999999999485
499.0,4.479999999999949
500.0,4.459999999999949
501.0,4.42999999999995
502.0,4.40999999999995
503.0,4.389999999999951
504.0,4.369999999999951
505.0,4.349999999999952
506.0,4.319999999999952
507.0,4.299999999999953
508.0,4.279999999999953
509.0,4.259999999999954
